channel,link,type,content
PewDiePie,OhWZavn2OvM,prop_comment,"Video games don't cause violence!

Fortnite fan base: is destroying their televisions violently"
PewDiePie,OhWZavn2OvM,prop_comment,Omg he actually rated a meme with a number. He hasn't done than since the old days.
PewDiePie,OhWZavn2OvM,prop_comment,"Felix: deep, meaningful conversation about Hong Kong and blizzard

Also Felix: twirling his Minecraft pickaxe as he does so"
PewDiePie,OhWZavn2OvM,prop_comment,"Jacksepticeye: uploads fartnite
Almost Everyone: WAIT THATS ILLEGAL"
PewDiePie,OhWZavn2OvM,prop_comment,Society: acts like saying society is as bad as saying who's joe
PewDiePie,SRhueFPsCeY,prop_title,This needs to stop..
PewDiePie,SRhueFPsCeY,prop_description,"These comments has to stop not epicly
GFUEL FLAVOUR PEWDIEPIE SIGNUP https://gfuel.ly/pewdie-signup #ad
100 CLUB MERCH OUT NOW! https://represent.com/store/pewdiepie (Thank you) (▰˘◡˘▰)
Minecraft Series Playlist:

ALL MINECRAFT EPISODES Playlist:



:::::::My Stores:::::::: 
TSUKI:

Merch:


:::::::I drink GFUEL (affiliate link)::::::::


:::::::I stream on DLive (ad)::::::::



:::::::My Setup (affiliate links):::::::: 
Chair: 
Elgato Green Screen:


:::::::Check out this game I helped make (affiliate)::::::::


__ Outro: Animation:

 Song: "
PewDiePie,SRhueFPsCeY,prop_comment,"Felix now married, brags about not being a virgin"
PewDiePie,SRhueFPsCeY,prop_comment,"Nobody:


Felix’s comments: “ “


Me: Felix: “Felix”

You: 😕"
PewDiePie,SRhueFPsCeY,prop_comment,Yea this must be tough. But at least he’s not juice WRLD
PewDiePie,SRhueFPsCeY,prop_comment,KTO cmatrit s 2019 to like
PewDiePie,SRhueFPsCeY,prop_comment,Pewdiepie 2019 “i see this disease spreading to other Chanel’s”
PewDiePie,SRhueFPsCeY,prop_comment,i feel like pewds is losing his mind slowly but surely
PewDiePie,SRhueFPsCeY,prop_comment,in the states you get “lunch included” if your parents dont make a certain amount of money 🤣
PewDiePie,SRhueFPsCeY,prop_comment,"PewDiePie: Complains about comments with ""quotes"" on his video
Me: I have an idea..."
PewDiePie,2K4_dNwyc5,prop_title,Nah. - RL Minecraft - 2
PewDiePie,2K4_dNwyc5,prop_description,"Minecraft RLCraft is not epic
100 CLUB MERCH OUT NOW! https://represent.com/store/pewdiepie (Thank you) (▰˘◡˘▰)
Minecraft Series Playlist:

ALL MINECRAFT EPISODES Playlist:



:::::::My Stores:::::::: 
TSUKI:

Merch:


:::::::I drink GFUEL (affiliate link)::::::::


:::::::I stream on DLive (ad)::::::::



:::::::My Setup (affiliate links):::::::: 
Chair: 
Elgato Green Screen:


:::::::Check out this game I helped make (affiliate)::::::::


__ Outro: Animation:

 Song: "
PewDiePie,2K4_dNwyc5,prop_comment,"Pewdiepie: Calls clinks “chinks”

Everybody: remembers the bridge, and has ptsd"
PewDiePie,2K4_dNwyc5,prop_comment,"Pewdiepie: ""Chink""
Me: Bridge flashbacks"
PewDiePie,2K4_dNwyc5,prop_comment,"“Funny Quote”

Bold Text

Me: Response"
PewDiePie,2K4_dNwyc5,prop_comment,"Pewds: ""bones! omg bones I can tame!""
Pewds: immediately makes bonemeal
Pewds: ""Bone meat!! Bone meat!! -wait i needed the bones!! you stinky!"""
PewDiePie,2K4_dNwyc5,prop_comment,"scare Pewdiepie gets canceled
Alcraft: “Fine, ill do it myself.”"
PewDiePie,2K4_dNwyc5,prop_comment,"Pewdiepie: “I am dying of hyperthermia”

*pewdiepie dies of hyperthermia

Pewdiepie: “why did I die?”"
PewDiePie,2K4_dNwyc5,prop_comment,"“Hey look it’s a chink”

Famous last words"
PewDiePie,2K4_dNwyc5,prop_comment,"“Thanks for nothing Belle Delphine” 
      —Pewdiepie, 2019"
PewDiePie,HKNj9CSzKxA,prop_title,
PewDiePie,HKNj9CSzKxA,prop_description,"I make minecraft creeper regret what he's done
100 CLUB MERCH OUT NOW! https://represent.com/store/pewdiepie (Thank you) (▰˘◡˘▰)
Minecraft Series Playlist:

ALL MINECRAFT EPISODES Playlist:



:::::::My Stores:::::::: 
TSUKI:

Merch:


:::::::I drink GFUEL (affiliate link)::::::::


:::::::I stream on DLive (ad)::::::::



:::::::My Setup (affiliate links):::::::: 
Chair: 
Elgato Green Screen:


:::::::Check out this game I helped make (affiliate)::::::::


__ Outro: Animation:

 Song: "
PewDiePie,HKNj9CSzKxA,prop_comment,Imagine how much this series would have been different if the sheep didn't spawn/get stuck in water...
PewDiePie,HKNj9CSzKxA,prop_comment,"All of the pets/creeper where all like father to him,and that’s a lot of step fathers"
PewDiePie,HKNj9CSzKxA,prop_comment,Why didn’t anyone asked that why did he say “he was like a father to me “ to a creature he wants to frick?
PewDiePie,HKNj9CSzKxA,prop_comment,"1999: We will have flying cars in 20 years

2019: PEWDIEPIE FRICKS A CREEPER MUST WATCHHH!!!!!"
PewDiePie,HKNj9CSzKxA,prop_comment,this entire series is just pewds documenting his dive into insanity
PewDiePie,HKNj9CSzKxA,prop_comment,"Council Of Beetroot: ""frick a creeper""
Felix: Rapes creeper using red stone devices
Me: Well thats one way to use red stone..."
PewDiePie,HKNj9CSzKxA,prop_comment,"Nobody:
PewDiePie a few episodes ago:""I'd frick a creeper(jokingly)""
PewDiePie Now:""LeT's fRiCk A cReEpEr GaMeRs"""
PewDiePie,HKNj9CSzKxA,prop_comment,"Pewdiepie: If Sven dies, this series is over

His fans: Sweating intensifies"
PewDiePie,RwrgU4cnEvY,prop_title,The WEIRDEST Camping Game EVER - The Forest VR
PewDiePie,RwrgU4cnEvY,prop_description,"AD |Go to https://NordVPN.com/pewdiepie to get 70% off a 3-year plan and use code PEWDIEPIE to get an additional month for free. 

me and green man go camping in the forest vr gameplay epic
100 CLUB MERCH OUT NOW!  (Thank you) (▰˘◡˘▰)
Minecraft Series Playlist:

ALL MINECRAFT EPISODES Playlist:



:::::::My Stores:::::::: 
TSUKI:

Merch:


:::::::I drink GFUEL (affiliate link)::::::::


:::::::I stream on DLive (ad)::::::::



:::::::My Setup (affiliate links):::::::: 
Chair: 
Elgato Green Screen:


:::::::Check out this game I helped make (affiliate)::::::::


__ Outro: Animation:

 Song: "
PewDiePie,RwrgU4cnEvY,prop_comment,"Pewds: Just give me one more day
Everyone: We've been tricked, backstabbed, and quite possibly, bamboozled."
PewDiePie,RwrgU4cnEvY,prop_comment,Just 26 minutes of Jack and pewds acting like 5 year olds
PewDiePie,RwrgU4cnEvY,prop_comment,"Jack; slowly dies on the ground
Pewds: hits him with axe
Also pewds: why do all my minecraft pets die"
PewDiePie,RwrgU4cnEvY,prop_comment,In this video: Watch two grown men play with dead animals as if they were toys while in a VR game...  EPIC
PewDiePie,RwrgU4cnEvY,prop_comment,"Jack: Makes seagull sound

My Pet birds: starts chirping aggressively

Me: Jack can speak bird language?"
PewDiePie,RwrgU4cnEvY,prop_comment,"“I don’t think we’ll play this seriously” 

As if they’ve ever played a game seriously together"
PewDiePie,RwrgU4cnEvY,prop_comment,"""We should turn this forest into deforest""
-JackSepticTank 2019"
PewDiePie,RwrgU4cnEvY,prop_comment,"Felix and jack: on mysterious island

Also Felix and Jack: immediately kills the natives"
PewDiePie,RwrgU4cnEvY,prop_comment,"No one:
Jacks microphone:


SCHSCHSCHSCHSCHSCHSHCSCHSHCSHCSH"
PewDiePie,RwrgU4cnEvY,prop_comment,"Felix: kills jack multiple times
"" tossboy was like a father to me :("""
PewDiePie,RwrgU4cnEvY,prop_comment,"""I hate video games. They appeal to the male fantasy.""
Felix: Finally, I have a leg."""
PewDiePie,RwrgU4cnEvY,prop_comment,"Jack: ""Turtle, ah those are cute""

Felix: *Tries to finger turtle*"
PewDiePie,RwrgU4cnEvY,prop_comment,"Natives: leaves dead bodys around to warn trespassers

PewDiePie: breakes them all That doesnt stop me because I cant see😁"
PewDiePie,RwrgU4cnEvY,prop_comment,"Felix: No minecraft for the day


Me: Minecraft was like a father to us"
PewDiePie,RwrgU4cnEvY,prop_comment,"Felix: Does the titanic


Also Felix: Hums ""A Whole New World"""
PewDiePie,RwrgU4cnEvY,prop_comment,"Pewds : ""just give me one day""

Everyone : Betrayal of the decade"
PewDiePie,RwrgU4cnEvY,prop_comment,"Pewds : ""cowards, they must be french ""
[Baguette angry noises]"
PewDiePie,RwrgU4cnEvY,prop_comment,"PwediePie: plane crashes
sees dead bodys
sees jack 
HI HI SHAKE HANDS HEYOOOO"
PewDiePie,QKlUTCtY0Z,prop_title,I met a Minecraft Girlfriend - RL Minecraft - 1
PewDiePie,QKlUTCtY0Z,prop_description,"Minecraft RL mod very epic
100 CLUB MERCH OUT NOW! https://represent.com/store/pewdiepie (Thank you) (▰˘◡˘▰)
Minecraft Series Playlist:

ALL MINECRAFT EPISODES Playlist:



:::::::My Stores:::::::: 
TSUKI:

Merch:


:::::::I drink GFUEL (affiliate link)::::::::


:::::::I stream on DLive (ad)::::::::



:::::::My Setup (affiliate links):::::::: 
Chair: 
Elgato Green Screen:


:::::::Check out this game I helped make (affiliate)::::::::


__ Outro: Animation:

 Song: "
PewDiePie,QKlUTCtY0Z,prop_comment,"""why does it sound like i'm wearing high heels"" 

and that's when he realized he was the minecraft girlfriend all along"
PewDiePie,QKlUTCtY0Z,prop_comment,"Pewds: ""I'm so hungry, I need to sleep""
Students: ""Same"""
PewDiePie,QKlUTCtY0Z,prop_comment,"Felix: ""'RLcraft is like Minecraft but harder' PFFFFFFFFFFFFFF""

Immediately dies twice"
PewDiePie,QKlUTCtY0Z,prop_comment,"Felix: I met a Minecraft girlfriend

Marzia: say sike right now"
PewDiePie,QKlUTCtY0Z,prop_comment,"Felix: “I broke my mouse”
Felix: smashes mouse into table “did I fix it?”
Mouse: works
Felix: “Swedish engineer”"
PewDiePie,QKlUTCtY0Z,prop_comment,"Pewds: “I met a minecraft girlfriend “


Pewds after few days:” Minecraft girlfriend was like a father to me...”"
PewDiePie,QKlUTCtY0Z,prop_comment,Did anyone else get adverts for “The Gaming Oi”
PewDiePie,QKlUTCtY0Z,prop_comment,"Felix: goes to random mobs and kisses them. ""Are we friends?""

Me: goes to random people and kisses them. ""Are we friends?"""
PewDiePie,QKlUTCtY0Z,prop_comment,"Title: ""I met a Minecraft Girlfriend""
Marzia: SPAGHETTI MUSIC STOPS"
