channel,link,type,content
Mellenbergi.,fUL7xMqaxRg,prop_comment,Apsveicu!!!😘😀❤❤❤
Mellenbergi.,fUL7xMqaxRg,prop_comment,"Man arī bija ideja likt sev radinieku uzvārdu, kas skaisti izklausās, bet no sākuma gribētu zināt, ko tas nozīmē...

Un jā, ļoti skaisti šis uzvārds piestāv Matildei ❤️💞 Princese 👑"
Mellenbergi.,fUL7xMqaxRg,prop_comment,Apsveicuu!❤😍
Mellenbergi.,fUL7xMqaxRg,prop_comment,"Jauks video! Apsveicu Jūs ar mazajām kāzām.😊  par to ko minēji video- man bija mazliet līdzīgs gadijums kad ar palielu vēderu( 8 mēnesī) nēēnormali sagribējās hesītī paēst. Pāris cilvēki uz mani noskatījās tā itkā es ko ekstra indīgu taisitos ēst.. bet nu btw  mammas tomēr labāk ko var dot un ko nevajadzētu ēst. Galu galā nu nav tas nekas traks ja mazais apēdīs paris ""friškas"" pa retam. Tādas lietas jau need katru dienu."
Mellenbergi.,fUL7xMqaxRg,prop_comment,"Matilde ir viss dzīvespriecīgākais bērniņš ko esmu līdz šim redzējusi. 😍❤️ 
Kur vēl mīlīgāk?! 🧡 
Un re kā patīk runāties mazajai princesītei. 🥰 
Prieks par Jums Baibiņ, jūs dikti jauki esat. ☀️"
Mellenbergi.,fUL7xMqaxRg,prop_comment,Nu tad lai Melenbergiem karaliska dzīvošana👍😘😘Sirsnīgi sveicieni jaunai ģimenei(oficiālai) 🌸🌸🌸
Mellenbergi.,MIygG3hAUN,prop_title,
Mellenbergi.,MIygG3hAUN,prop_description,"hey, jūs varbūt pamanīsiet kaut kādu izmaiņu. drīz pastāstīsim. ❤️
(khm, khm, nospied zvaniņu) 

Bonusway mobīlā aplikācija - 

Bonusway.lv mājaslapa - 

paldies Bonusway par sadarbību!
kā Jums patika mūsu pirkumi?"
Mellenbergi.,MIygG3hAUN,prop_comment,Gustavs tak bija Puhovs
Mellenbergi.,MIygG3hAUN,prop_comment,"Kas par Mellenbergiem, lūdzu paskaidrojiet?😀"
Mellenbergi.,MIygG3hAUN,prop_comment,Viņi ir sarakstījušies jo aboem ir tagad uzvārds Mellenbergi!!😅❤️❤️❤️iečekojiet Baibas ig viņai bij uzvārds Kārkliņa😍😍
Mellenbergi.,MIygG3hAUN,prop_comment,Wow!!Mellenbergi!!❤
Mellenbergi.,MIygG3hAUN,prop_comment,"Yea... Jauns video varu derēt kad būs ļoti labss ,🤭❤jo jūs esat foršiii.."
Mellenbergi.,MIygG3hAUN,prop_comment,Matilde vairs nevelk auduma autiņbiksītes?
Mellenbergi.,MIygG3hAUN,prop_comment,Mellenbergi? hmm
Mellenbergi.,MIygG3hAUN,prop_comment,Kape Mellenbergi?
Mellenbergi.,MIygG3hAUN,prop_comment,Mellenbergi ❤😍
Mellenbergi.,MIygG3hAUN,prop_comment,"Man nojausma, ka esat ""pa kluso"" apprecējušies/sarakstījušies. Tas nu gan būtu dikti forši, ja tā tiešām ir. 🥰"
Mellenbergi.,MIygG3hAUN,prop_comment,8 sktījumi un 9 like😄
Mellenbergi.,MIygG3hAUN,prop_comment,Gustavs un baiba -Mellenburgi
Mellenbergi.,MIygG3hAUN,prop_comment,Jums ir divi vienādi kanāli?
Mellenbergi.,MIygG3hAUN,prop_comment,"Liels paldies, par šo video! Novēlu jums daudz saulainu dienu piepildītas ar prieku un skaistām atmiņām!"
Mellenbergi.,MIygG3hAUN,prop_comment,Jums sen nav bijis neviens challange vai q&a
Mellenbergi.,MIygG3hAUN,prop_comment,Kp cits krekls
Mellenbergi.,MIygG3hAUN,prop_comment,Kapēc nosaukumu majnijāt
Mellenbergi.,MIygG3hAUN,prop_comment,Gustavam derēja tie cimdi?
Bea Jonite,dIXpTyM79U,prop_title,
Bea Jonite,dIXpTyM79U,prop_description,THIS VIDEO IS PART OF MY EUROPEAN PARLIAMENT ELECTION CAMPAIGN.
Bea Jonite,dIXpTyM79U,prop_comment,кто тут с России ?))
Bea Jonite,dIXpTyM79U,prop_comment,So impressive!! Good luck!
Bea Jonite,dIXpTyM79U,prop_comment,"Good Luck, we're rooting for you"
Bea Jonite,dIXpTyM79U,prop_comment,Hi Bea. Can you do a video on the results of the EU elections in Latvia plz. 😘
Bea Jonite,dIXpTyM79U,prop_comment,Best wishes from Lithuania!
Bea Jonite,dIXpTyM79U,prop_comment,Will u be coming to lead india as well one day??😋😋
Bea Jonite,dIXpTyM79U,prop_comment,"Danke schön, Thank you! ♥"
Bea Jonite,dIXpTyM79U,prop_comment,"ok language, I’d vote in a beat if i could 🙌🏼🙌🏼🙌🏼🙌🏼 goodluck Bea!"
Bea Jonite,dIXpTyM79U,prop_comment,I remember another video where you held yourself accountable for making a poor decision that could have ended very badly. I was proud of you then and I am proud of you now. I hope this and all you endeavor to accomplish is successful and leads to lasting happiness.
Bea Jonite,dIXpTyM79U,prop_comment,🙌🏾🙌🏾🙌🏾🙌🏾
Bea Jonite,dIXpTyM79U,prop_comment,✊🏼✊🏼✊🏼
Bea Jonite,dIXpTyM79U,prop_comment,"""Прав человека"", а не ""человеческих прав"" ;)"
Bea Jonite,kI-573Zj_tY,prop_title,New generation - new solutions. (Political Ad) (LV)
Bea Jonite,kI-573Zj_tY,prop_description,"🇪🇺Campaign video for the European Parliament elections. 🇪🇺

JAUNA PAAUDZE - JAUNI RISINĀJUMI.

🥊 Darot visu un strādājot tāpat, kā agrāk, mēs nevaram gaidīt atšķirīgus rezultātus. Ja mēs kā valsts vēlamies šajā trauskmainajā laikmetā atkal kļūt par ieguvējiem, atrodoties ES sastāvā -, tāpat, kā sportā, ir nepieciešama maiņa.

⚡️ Ir nepieciešams atšķirīgs domāšanas veids, vērtību kopums, darba ritms. Ir nepieiešami jauni cilvēki, kas spēs paskatīties uz procesiem no pilnīgi citas puses un rast neordinārus risinājumus. Kas ir gatavi bez apstājas mācīties, atzīt savas kļūdas, uzdot jautājumus un nesamierināties, kamēr netiks atrastas pareizās atbildes. Eiropas Parlamenta birokrātiskajos gaiteņas 751 pārstāvja vidū ir nepieciešama vismaz viena dzirkstele, kas ar entuziasmu un caurspīdīgumu spēs atkal rast saikni starp Eiropas Savienību un Tevi - Latvijas iedzīvotāju. Kas ne tikai strādās, bet būs Tavas acis un ausis, un stāstīs Tev par katru pieņemto lēmumu un sperto soli. Kas neskatās uz Eiropas Parlamentu kā uz siltu vietiņu, bet kā uz sistēmu, kas ir liesmās no vecās, mantkārīgās politikas.

🔥 Mūsu paaudzei ‘mantojumā’ ir atstāts pienākums šīs liesmas dzēst - un varētu jau par to čīkstēt, bet, manuprāt, ir pienācis laiks vienkārši ķetries klāt pie ugunsdzēšamā aparāta. Mūsu paaudze nav reprezentēta Eiropas Savienības līmenī - bet vienmēr esmu ticējusi izteicienam “ja tu to neredzi, kļūsti par to.” Un tāpēc es esmu šeit. Es esmu vienīgais jaunais cilvēks Latvijā, kam tika dota uzticība būt partijas saraksta pirmajā trijniekā. Bet tagad bumba ir Tavā pusē - dot vai nedot man to iespēju Tevi pārstāvēt 25 maijā? Es gribu iesist vārtus, bet man ir nepieciešama komanda! Pievienosies? ⚽️

- Beata Jonite, 5. saraksts, 
Eiroparlamenta vēlēšanas sestdien, 25. maijā!"
Bea Jonite,kI-573Zj_tY,prop_comment,It's so good seeing the ways you're growing :)
Bea Jonite,kI-573Zj_tY,prop_comment,you go girl! Europe needs some intelligent and young women! sending love <3
Bea Jonite,kI-573Zj_tY,prop_comment,This is so cool ! I'm a 21 year old running for mayor in my local city in the capital of my country ! Big things ahead. Cool to see someone I grew up with making waves too
Bea Jonite,kI-573Zj_tY,prop_comment,So incredibly proud of you 🌸🌸
Bea Jonite,kI-573Zj_tY,prop_comment,Proud of you😊💓💓💓
Bea Jonite,kI-573Zj_tY,prop_comment,Šitā sieviete jaunāka par mani super👍❤
Bea Jonite,kI-573Zj_tY,prop_comment,I wish you the best of luck!!!!!!!!!!!!!!
Bea Jonite,kI-573Zj_tY,prop_comment,"pag tad sanāk, ka šeit tiek stāstīts par kādu planšeti vai, par to ka sievietēm ir vieglāk strādāt nekā vīriešiem!"
Bea Jonite,kI-573Zj_tY,prop_comment,What does all of this mean?
